[2014-12-27 11:50:53] request.CRITICAL: Uncaught PHP Exception Twig_Error_Runtime: "An exception has been thrown during the rendering of a template ("The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.") in "AppBundle:default:index.html.twig" at line 6." at C:\wamp\www\BSLWorkbench\app\cache\prod\classes.php line 5039 {"exception":"[object] (Twig_Error_Runtime: An exception has been thrown during the rendering of a template (\"The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.\") in \"AppBundle:default:index.html.twig\" at line 6. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:5039, Symfony\\Component\\Security\\Core\\Exception\\AuthenticationCredentialsNotFoundException: The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:3247)"} []
[2014-12-27 11:50:57] request.INFO: Matched route "homepage" (parameters: "_controller": "AppBundle\Controller\DefaultController::indexAction", "_route": "homepage") [] []
[2014-12-27 11:50:57] request.CRITICAL: Uncaught PHP Exception Twig_Error_Runtime: "An exception has been thrown during the rendering of a template ("The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.") in "AppBundle:default:index.html.twig" at line 6." at C:\wamp\www\BSLWorkbench\app\cache\prod\classes.php line 5039 {"exception":"[object] (Twig_Error_Runtime: An exception has been thrown during the rendering of a template (\"The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.\") in \"AppBundle:default:index.html.twig\" at line 6. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:5039, Symfony\\Component\\Security\\Core\\Exception\\AuthenticationCredentialsNotFoundException: The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:3247)"} []
[2014-12-27 11:51:08] request.INFO: Matched route "homepage" (parameters: "_controller": "AppBundle\Controller\DefaultController::indexAction", "_route": "homepage") [] []
[2014-12-27 11:51:08] request.CRITICAL: Uncaught PHP Exception Twig_Error_Runtime: "An exception has been thrown during the rendering of a template ("The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.") in "AppBundle:default:index.html.twig" at line 6." at C:\wamp\www\BSLWorkbench\app\cache\prod\classes.php line 5039 {"exception":"[object] (Twig_Error_Runtime: An exception has been thrown during the rendering of a template (\"The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.\") in \"AppBundle:default:index.html.twig\" at line 6. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:5039, Symfony\\Component\\Security\\Core\\Exception\\AuthenticationCredentialsNotFoundException: The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:3247)"} []
[2014-12-27 11:51:21] request.INFO: Matched route "homepage" (parameters: "_controller": "AppBundle\Controller\DefaultController::indexAction", "_route": "homepage") [] []
[2014-12-27 11:51:21] request.CRITICAL: Uncaught PHP Exception Twig_Error_Runtime: "An exception has been thrown during the rendering of a template ("The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.") in "AppBundle:default:index.html.twig" at line 6." at C:\wamp\www\BSLWorkbench\app\cache\prod\classes.php line 5039 {"exception":"[object] (Twig_Error_Runtime: An exception has been thrown during the rendering of a template (\"The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.\") in \"AppBundle:default:index.html.twig\" at line 6. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:5039, Symfony\\Component\\Security\\Core\\Exception\\AuthenticationCredentialsNotFoundException: The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:3247)"} []
[2014-12-27 11:51:38] request.INFO: Matched route "homepage" (parameters: "_controller": "AppBundle\Controller\DefaultController::indexAction", "_route": "homepage") [] []
[2014-12-27 11:51:38] request.CRITICAL: Uncaught PHP Exception Twig_Error_Runtime: "An exception has been thrown during the rendering of a template ("The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.") in "AppBundle:default:index.html.twig" at line 6." at C:\wamp\www\BSLWorkbench\app\cache\prod\classes.php line 5039 {"exception":"[object] (Twig_Error_Runtime: An exception has been thrown during the rendering of a template (\"The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.\") in \"AppBundle:default:index.html.twig\" at line 6. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:5039, Symfony\\Component\\Security\\Core\\Exception\\AuthenticationCredentialsNotFoundException: The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:3247)"} []
[2014-12-27 11:51:55] request.INFO: Matched route "homepage" (parameters: "_controller": "AppBundle\Controller\DefaultController::indexAction", "_route": "homepage") [] []
[2014-12-27 11:51:55] request.CRITICAL: Uncaught PHP Exception Twig_Error_Runtime: "An exception has been thrown during the rendering of a template ("The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.") in "AppBundle:default:index.html.twig" at line 6." at C:\wamp\www\BSLWorkbench\app\cache\prod\classes.php line 5039 {"exception":"[object] (Twig_Error_Runtime: An exception has been thrown during the rendering of a template (\"The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.\") in \"AppBundle:default:index.html.twig\" at line 6. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:5039, Symfony\\Component\\Security\\Core\\Exception\\AuthenticationCredentialsNotFoundException: The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:3247)"} []
[2014-12-27 11:51:56] request.INFO: Matched route "homepage" (parameters: "_controller": "AppBundle\Controller\DefaultController::indexAction", "_route": "homepage") [] []
[2014-12-27 11:51:56] request.CRITICAL: Uncaught PHP Exception Twig_Error_Runtime: "An exception has been thrown during the rendering of a template ("The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.") in "AppBundle:default:index.html.twig" at line 6." at C:\wamp\www\BSLWorkbench\app\cache\prod\classes.php line 5039 {"exception":"[object] (Twig_Error_Runtime: An exception has been thrown during the rendering of a template (\"The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.\") in \"AppBundle:default:index.html.twig\" at line 6. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:5039, Symfony\\Component\\Security\\Core\\Exception\\AuthenticationCredentialsNotFoundException: The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:3247)"} []
[2014-12-27 11:52:21] request.INFO: Matched route "homepage" (parameters: "_controller": "AppBundle\Controller\DefaultController::indexAction", "_route": "homepage") [] []
[2014-12-27 11:52:21] request.CRITICAL: Uncaught PHP Exception Twig_Error_Runtime: "An exception has been thrown during the rendering of a template ("The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.") in "AppBundle:default:index.html.twig" at line 6." at C:\wamp\www\BSLWorkbench\app\cache\prod\classes.php line 5039 {"exception":"[object] (Twig_Error_Runtime: An exception has been thrown during the rendering of a template (\"The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL.\") in \"AppBundle:default:index.html.twig\" at line 6. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:5039, Symfony\\Component\\Security\\Core\\Exception\\AuthenticationCredentialsNotFoundException: The token storage contains no authentication token. One possible reason may be that there is no firewall configured for this URL. at C:\\wamp\\www\\BSLWorkbench\\app\\cache\\prod\\classes.php:3247)"} []
